ds,prophet_ssn
2024-01-01,34.632680318190026
2024-02-01,92.86154147720181
2024-03-01,67.36037679765408
2024-04-01,68.5919600046749
2024-05-01,48.212925168659474
2024-06-01,65.56191308067571
2024-07-01,54.174383565235146
2024-08-01,72.11906356161741
2024-09-01,78.84706347009461
2024-10-01,86.73834774520611
2024-11-01,54.37418805082757
2024-12-01,65.29421120974465
2025-01-01,42.834398581263
2025-02-01,109.05093054590849
2025-03-01,74.07633466650388
2025-04-01,72.83036231754741
2025-05-01,50.48076938602527
2025-06-01,67.51614848404546
2025-07-01,54.601409455093666
2025-08-01,69.90860794599921
2025-09-01,73.15035859614574
2025-10-01,77.6347045976791
2025-11-01,47.774765964260105
2025-12-01,56.790285345353624
2026-01-01,37.17234037792008
2026-02-01,93.33262563970007
2026-03-01,63.00912152621352
2026-04-01,61.458411557512434
2026-05-01,42.76712474335075
2026-06-01,57.49429753630317
2026-07-01,46.9910194952552
2026-08-01,60.070742935540856
2026-09-01,61.97877164607668
2026-10-01,64.23959568384193
2026-11-01,38.719628013489995
2026-12-01,45.2945743065272
2027-01-01,29.718726089350604
2027-02-01,75.0268756279881
2027-03-01,51.92020731255863
2027-04-01,51.63656016755953
2027-05-01,36.3139738226953
2027-06-01,47.909262971922196
2027-07-01,37.47607164884378
2027-08-01,44.36665187081479
2027-09-01,42.133151881433086
2027-10-01,41.225290218767576
2027-11-01,24.76346975585879
2027-12-01,30.295332004059592
2028-01-01,21.513612461627158
2028-02-01,57.0735894375833
2028-03-01,40.75651681855768
2028-04-01,38.99373184427034
2028-05-01,25.629788155598806
2028-06-01,32.35252123018418
2028-07-01,25.70665206931504
2028-08-01,32.930181081718366
2028-09-01,34.38220819043661
2028-10-01,34.940158594196646
2028-11-01,19.962780778103944
2028-12-01,21.51831772284253
2029-01-01,13.289436193415929
2029-02-01,32.5057139339064
2029-03-01,23.054823173140083
2029-04-01,23.780200421624514
2029-05-01,16.953304818378147
2029-06-01,21.83187543272122
2029-07-01,16.375910095413836
2029-08-01,18.774690019767082
2029-09-01,17.99659896723521
2029-10-01,18.300584911376724
2029-11-01,11.416512853165521
2029-12-01,13.761192796977426
2030-01-01,9.130758018098234
2030-02-01,21.755332111140003
2030-03-01,13.932905808819234
2030-04-01,12.618626150815171
2030-05-01,8.403655584779779
2030-06-01,11.032740542419505
2030-07-01,9.25178637737099
2030-08-01,12.197442590344368
2030-09-01,12.877910227455368
2030-10-01,13.237947103804053
2030-11-01,7.824971076577864
2030-12-01,8.789357460267833
2031-01-01,5.698950146386496
2031-02-01,14.049677466723995
2031-03-01,9.933484010597018
2031-04-01,9.952219302600552
2031-05-01,7.045417359188757
2031-06-01,9.263653603180522
2031-07-01,7.55666009246734
2031-08-01,9.749524226143885
2031-09-01,10.599051038573775
2031-10-01,11.824709939093166
2031-11-01,7.730888972490098
2031-12-01,9.322379611284468
2032-01-01,6.200912770976097
2032-02-01,14.715103110463428
2032-03-01,10.33365100024831
2032-04-01,10.585566317274113
2032-05-01,8.080993124617825
2032-06-01,11.91960425719128
2032-07-01,10.801935464700314
2032-08-01,14.747408988680506
2032-09-01,15.926187493830911
2032-10-01,17.04201237263595
2032-11-01,10.983706358900413
2032-12-01,13.78459127824449
2033-01-01,10.14038172982595
2033-02-01,27.524468547744213
2033-03-01,20.999223295586443
2033-04-01,22.160114996937317
2033-05-01,16.426767374463267
2033-06-01,22.78103472065898
2033-07-01,19.79332558057652
2033-08-01,26.86698411020597
2033-09-01,29.850240459962084
2033-10-01,32.815108931666394
2033-11-01,20.65237723180269
